City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
240,Fayaoue,NC,-20.65,166.5333,79.32,74,28,20.36,scattered clouds
241,Kismayo,SO,-0.3582,42.5454,76.96,80,44,13.96,scattered clouds
242,Smithers,CA,54.7804,-127.1743,15.8,73,90,5.75,overcast clouds
243,Marevo,RU,57.3146,32.0804,25.25,98,96,4.25,overcast clouds
244,Husavik,IS,66.0449,-17.3389,26.6,86,90,17.27,overcast clouds
245,Craig,US,40.5153,-107.5464,33.8,74,40,3.44,scattered clouds
246,Castro,BR,-24.7911,-50.0119,62.65,96,100,3.78,light rain
247,Nanortalik,GL,60.1432,-45.2371,31.75,92,96,8.03,overcast clouds
248,Najran,SA,17.4924,44.1277,59.0,26,0,4.61,clear sky
249,Saint-Francois,FR,46.4154,3.9054,46.4,76,0,8.05,light rain
250,Newport Beach,US,33.6189,-117.9289,52.0,67,35,3.06,scattered clouds
251,San Quintin,MX,30.4833,-115.95,56.43,75,1,9.91,clear sky
252,Barra Da Estiva,BR,-13.6261,-41.3269,62.78,98,88,3.67,overcast clouds
253,Adrar,MR,20.5022,-10.0711,62.69,27,0,10.8,clear sky
254,Kodiak,US,57.79,-152.4072,35.6,55,1,16.11,clear sky
255,Dolzhanskaya,RU,46.6311,37.8039,37.0,81,100,21.0,light rain
256,Ust-Tsilma,RU,65.441,52.1498,2.37,92,100,9.46,overcast clouds
257,Leningradskiy,RU,69.3833,178.4167,-22.5,85,100,8.3,overcast clouds
258,Olafsvik,IS,64.8945,-23.7142,29.35,97,100,18.41,light snow
259,Beloha,MG,-25.1667,45.05,76.37,79,0,5.37,clear sky
260,Odweyne,SO,9.4092,45.064,61.18,58,0,6.85,clear sky
261,Port Hardy,CA,50.6996,-127.4199,42.8,87,90,17.27,light rain
262,Williston,US,48.147,-103.618,21.99,88,100,1.01,overcast clouds
263,Ljungby,SE,56.8332,13.9408,14.0,92,0,5.75,clear sky
264,General Pico,AR,-35.6566,-63.7568,67.77,49,100,8.86,overcast clouds
265,Ostrovnoy,RU,68.0531,39.5131,8.42,94,100,16.93,light snow
266,Seda,LV,57.65,25.75,25.0,96,95,1.01,overcast clouds
267,Porto Velho,BR,-8.7619,-63.9039,75.2,94,40,2.3,light rain
268,Muravlenko,RU,63.7898,74.523,-44.01,81,14,2.21,few clouds
269,Pacific Grove,US,36.6177,-121.9166,48.0,87,1,3.44,clear sky
270,Sitniki,RU,56.4553,44.0666,28.4,80,40,11.18,scattered clouds
271,Kushiro,JP,42.975,144.3747,30.2,74,75,10.36,light snow
272,Bilma,NE,18.6853,12.9164,58.98,30,44,7.56,scattered clouds
273,Lesosibirsk,RU,58.2358,92.4828,-26.61,84,92,3.33,overcast clouds
274,Soe,ID,-9.8607,124.284,77.23,82,100,6.4,light rain
275,Oranjemund,NA,-28.55,16.4333,59.97,89,2,13.09,clear sky
276,Dicabisagan,PH,17.0818,122.4157,70.54,78,97,12.8,overcast clouds
277,Ribeira Grande,PT,38.5167,-28.7,61.07,82,91,25.21,overcast clouds
278,Dauriya,RU,49.9333,116.8667,-20.43,82,92,2.48,overcast clouds
279,Norman Wells,CA,65.282,-126.8329,-34.6,74,40,2.3,scattered clouds
280,Oktyabrskoye,RU,43.0645,44.7417,33.8,100,90,2.24,overcast clouds
281,Bulqize,AL,41.4917,20.2219,50.0,87,90,1.14,overcast clouds
282,Daltenganj,IN,24.0333,84.0667,56.64,38,0,4.41,clear sky
283,Jeremie,HT,18.65,-74.1167,74.53,81,56,18.03,broken clouds
284,Angoche,MZ,-16.2325,39.9086,77.74,87,93,1.77,overcast clouds
285,Sweetwater,US,25.7634,-80.3731,64.99,68,40,4.61,scattered clouds
286,Beauchamps,FR,50.012,1.5176,44.01,81,100,6.22,light rain
287,Roros,NO,62.5747,11.3842,-5.8,77,75,4.99,light snow
288,Quatre Cocos,MU,-20.2078,57.7625,82.0,89,40,8.05,scattered clouds
289,Kathmandu,NP,27.7167,85.3167,46.4,76,20,2.3,mist
290,Hay River,CA,60.8156,-115.7999,-20.2,76,2,2.3,clear sky
291,Riviere-Au-Renard,CA,48.9957,-64.3971,8.6,78,1,9.22,clear sky
292,Abancay,PE,-13.6339,-72.8814,57.69,71,98,4.23,overcast clouds
293,Bara,NG,10.3744,10.7288,65.8,25,0,8.75,clear sky
294,Xai-Xai,MZ,-25.0519,33.6442,74.59,91,8,1.3,clear sky
295,Falmouth,GB,50.1544,-5.0711,51.8,100,75,21.85,broken clouds
296,Zhigansk,RU,66.7697,123.3711,-42.92,80,99,3.2,overcast clouds
297,Henties Bay,NA,-22.116,14.2845,66.99,82,81,4.14,broken clouds
298,Sisimiut,GL,66.9395,-53.6735,7.93,85,0,9.98,clear sky
299,Ushtobe,KZ,45.2514,77.9838,14.95,85,0,7.81,clear sky
300,Surt,LY,31.2089,16.5887,61.99,50,6,15.7,clear sky
301,Pinega,RU,64.7001,43.3936,17.26,97,100,7.81,overcast clouds
302,Laguna,US,38.421,-121.4238,46.99,87,1,4.61,clear sky
303,Mahon,ES,39.8885,4.2658,53.6,94,15,3.44,few clouds
304,Kudahuvadhoo,MV,2.6708,72.8944,80.71,79,56,14.52,broken clouds
305,Vilhena,BR,-12.7406,-60.1458,69.85,95,100,4.27,overcast clouds
306,Capao Bonito,BR,-24.0058,-48.3494,68.47,95,100,0.92,overcast clouds
307,Airai,TL,-8.9266,125.4092,63.9,100,100,4.07,light rain
308,Ketchikan,US,55.3422,-131.6461,35.6,80,90,6.91,light snow
309,Lavrentiya,RU,65.5833,-171.0,-18.29,81,0,9.73,clear sky
310,Noyabrsk,RU,63.1994,75.4507,-42.79,81,16,3.22,few clouds
311,Balkanabat,TM,39.5108,54.3671,49.57,50,100,3.38,overcast clouds
312,Nuristan,AF,35.3,70.8333,11.48,70,0,12.57,clear sky
313,Westport,US,41.1415,-73.3579,17.6,45,1,12.66,clear sky
314,Yankton,US,42.8711,-97.3973,28.4,93,75,9.22,mist
315,Pustoshka,RU,56.3355,29.369,24.76,98,97,8.03,snow
316,Killybegs,IE,54.6333,-8.45,41.0,91,100,13.0,overcast clouds
317,Boguchany,RU,58.3814,97.4531,-31.05,80,100,8.19,overcast clouds
318,General Cepeda,MX,25.3833,-101.45,57.2,47,1,3.98,clear sky
319,Agadez,NE,19.75,10.25,54.12,35,0,9.24,clear sky
320,Half Moon Bay,US,37.4636,-122.4286,48.2,93,1,0.78,clear sky
321,San Jose,US,37.3394,-121.895,48.2,71,40,3.44,scattered clouds
322,Lasa,IT,46.6166,10.7002,32.0,93,90,3.44,light snow
323,Luanda,AO,-8.8368,13.2343,78.8,83,40,6.91,scattered clouds
324,Svetlogorsk,BY,52.6333,29.7333,21.29,96,98,10.74,overcast clouds
325,Vestmannaeyjar,IS,63.4427,-20.2734,35.24,82,100,7.63,overcast clouds
326,Darnah,LY,32.767,22.6367,60.35,63,34,21.32,scattered clouds
327,Codrington,AU,-38.2667,141.9667,62.98,71,100,12.41,overcast clouds
328,Dudinka,RU,69.4058,86.1778,-37.14,77,1,4.0,clear sky
329,Mpulungu,ZM,-8.7623,31.1141,73.18,66,99,2.66,overcast clouds
330,Coaticook,CA,45.1334,-71.7991,3.2,78,100,1.14,overcast clouds
331,Sao Miguel Do Tapuio,BR,-5.5036,-41.3233,73.18,84,100,1.34,overcast clouds
332,Sur,OM,22.5667,59.5289,62.71,50,0,6.22,clear sky
333,Sorland,NO,67.667,12.6934,29.43,88,86,8.68,overcast clouds
334,Bow Island,CA,49.8668,-111.3684,8.6,85,0,3.44,clear sky
335,Mecca,SA,21.4267,39.8261,64.45,47,0,10.45,clear sky
336,Wad Madani,SD,14.4012,33.5199,63.03,27,0,13.87,clear sky
337,Yinchuan,CN,38.4681,106.2731,30.96,71,62,2.53,broken clouds
338,Kieta,PG,-6.2167,155.6333,86.61,67,54,14.07,light rain
339,Khasan,RU,42.4308,130.6434,12.13,89,83,4.45,broken clouds
340,Mnogovershinnyy,RU,53.9353,139.9242,-5.46,92,100,5.3,overcast clouds
341,Ulladulla,AU,-35.35,150.4667,80.01,89,75,11.5,broken clouds
342,Anadyr,RU,64.75,177.4833,-20.0,76,0,6.71,clear sky
343,Eureka,US,40.8021,-124.1637,48.0,71,100,3.0,overcast clouds
344,Kyren,RU,51.6828,102.1408,14.09,85,99,1.79,overcast clouds
345,Brainerd,US,46.358,-94.2008,23.0,63,90,10.36,overcast clouds
346,Deoria,IN,26.5047,83.7872,50.38,55,0,7.25,clear sky
